account_id,customer_id,branch_id,account_type,open_date,current_balance,account_status
200001,100001,47,Savings,2024-05-26,4714947.59,ACTIVE
200002,100002,12,Savings,2022-04-05,2112211.42,ACTIVE
200003,100003,16,Salary,2020-08-27,1886879.65,ACTIVE
200004,100004,24,Current,2024-05-14,4681637.61,ACTIVE
200005,100005,19,Current,2017-03-08,3375862.74,ACTIVE
200006,100006,8,Savings,2024-08-04,580555.4,ACTIVE
200007,100007,31,Savings,2023-02-28,211937.6,ACTIVE
200008,100008,21,Savings,2022-06-19,2823362.94,ACTIVE
200009,100009,17,Current,2020-01-06,4650889.74,ACTIVE
200010,100010,23,Savings,2023-07-25,4221321.39,ACTIVE
200011,100011,37,Savings,2021-02-21,3379400.81,ACTIVE
200012,100012,16,Salary,2023-11-17,696009.69,ACTIVE
200013,100013,6,Savings,2023-06-17,1271529.8,ACTIVE
200014,100014,8,Savings,2020-10-15,4377618.38,ACTIVE
200015,100015,25,Savings,2017-03-02,914444.78,ACTIVE
200016,100016,18,Salary,2017-11-14,1392557.82,CLOSED
200017,100017,25,Savings,2024-11-19,648438.46,CLOSED
200018,100018,12,Current,2018-01-08,3380703.1,ACTIVE
200019,100019,15,Current,2022-03-02,4719939.54,CLOSED
200020,100020,26,Savings,2020-07-02,1345205.67,ACTIVE
200021,100021,41,Current,2021-08-29,2377295.34,ACTIVE
200022,100022,45,Savings,2019-10-14,3171881.53,ACTIVE
200023,100023,26,Savings,2023-05-17,4997331.51,ACTIVE
200024,100024,47,Current,2017-10-09,524487.92,ACTIVE
200025,100025,32,Salary,2021-12-26,2493104.71,ACTIVE
200026,100026,10,Current,2022-09-23,1925908.04,ACTIVE
200027,100027,16,Savings,2020-12-19,4329167.92,ACTIVE
200028,100028,7,Savings,2019-12-14,2380100.67,ACTIVE
200029,100029,17,Savings,2019-07-14,555332.13,CLOSED
200030,100030,23,Savings,2022-03-03,3172303.51,ACTIVE
200031,100031,26,Savings,2019-08-22,3854017.7,ACTIVE
200032,100032,21,Savings,2025-06-22,14904.82,ACTIVE
200033,100033,22,Savings,2020-03-02,4294853.95,ACTIVE
200034,100034,7,Savings,2020-08-15,930521.99,ACTIVE
200035,100035,14,Savings,2024-07-27,2760570.79,ACTIVE
200036,100036,15,Savings,2023-02-06,2079279.6,ACTIVE
200037,100037,7,Current,2020-10-29,3598409.26,ACTIVE
200038,100038,9,Savings,2025-04-06,1856122.49,ACTIVE
200039,100039,48,Salary,2024-02-21,4348881.0,ACTIVE
200040,100040,8,Salary,2019-08-17,3652616.56,ACTIVE
200041,100041,50,Savings,2022-10-28,3238742.0,ACTIVE
200042,100042,23,Current,2018-09-12,3981304.86,ACTIVE
200043,100043,29,Savings,2022-04-25,3770238.16,ACTIVE
200044,100044,18,Savings,2022-02-12,180175.41,DORMANT
200045,100045,31,Savings,2018-05-26,1973974.4,CLOSED
200046,100046,30,Savings,2020-03-16,4654071.08,CLOSED
200047,100047,39,Savings,2024-08-02,629058.48,ACTIVE
200048,100048,35,Savings,2022-03-03,3685614.2,ACTIVE
200049,100049,18,Current,2024-05-07,4872971.76,ACTIVE
200050,100050,42,Current,2018-11-06,261467.05,ACTIVE
200051,100051,39,Savings,2020-01-14,3411128.31,ACTIVE
200052,100052,17,Current,2021-01-27,2341036.63,ACTIVE
200053,100053,14,Savings,2021-01-06,2896086.69,CLOSED
200054,100054,31,Savings,2020-06-14,427164.01,ACTIVE
200055,100055,24,Current,2016-01-01,215513.26,CLOSED
200056,100056,35,Savings,2024-02-22,3334499.87,ACTIVE
200057,100057,44,Savings,2016-05-21,4116635.49,ACTIVE
200058,100058,45,Savings,2019-03-11,3910185.67,ACTIVE
200059,100059,34,Savings,2022-09-06,2719256.74,ACTIVE
200060,100060,3,Salary,2016-03-07,499784.17,ACTIVE
200061,100061,37,Savings,2021-10-21,3440378.2,ACTIVE
200062,100062,43,Salary,2017-07-07,1209823.47,ACTIVE
200063,100063,40,Savings,2019-05-21,4555387.98,ACTIVE
200064,100064,26,Savings,2016-01-27,4191407.67,DORMANT
200065,100065,23,Savings,2019-05-15,3547060.14,DORMANT
200066,100066,44,Current,2018-06-27,4744255.36,CLOSED
200067,100067,39,Savings,2018-05-29,157593.4,ACTIVE
200068,100068,15,Salary,2019-07-13,3681134.03,ACTIVE
200069,100069,49,Current,2016-03-29,1651548.78,ACTIVE
200070,100070,4,Savings,2024-08-26,4530376.4,ACTIVE
200071,100071,29,Salary,2025-03-20,1333742.65,ACTIVE
200072,100072,22,Current,2023-09-26,3624420.07,ACTIVE
200073,100073,25,Current,2025-03-22,4388296.27,ACTIVE
200074,100074,13,Savings,2019-02-04,208763.26,ACTIVE
200075,100075,18,Savings,2022-03-17,1988539.07,ACTIVE
200076,100076,33,Savings,2021-09-25,3811664.01,ACTIVE
200077,100077,16,Savings,2022-03-28,2274866.99,ACTIVE
200078,100078,45,Savings,2022-05-26,1336629.52,ACTIVE
200079,100079,42,Current,2022-05-30,1099416.84,ACTIVE
200080,100080,44,Savings,2017-09-25,658025.58,ACTIVE
200081,100081,2,Savings,2017-01-21,4285719.23,ACTIVE
200082,100082,35,Salary,2016-06-03,2876989.34,ACTIVE
200083,100083,42,Salary,2021-02-28,382386.53,ACTIVE
200084,100084,34,Savings,2019-12-27,1913210.33,ACTIVE
200085,100085,30,Salary,2017-10-01,1838984.39,ACTIVE
200086,100086,13,Savings,2017-07-20,909105.08,ACTIVE
200087,100087,13,Savings,2018-12-21,2177820.37,CLOSED
200088,100088,18,Current,2020-02-12,1660830.78,ACTIVE
200089,100089,32,Savings,2022-07-12,1709347.63,ACTIVE
200090,100090,32,Savings,2018-10-20,3695263.28,ACTIVE
200091,100091,35,Savings,2018-08-12,1116705.3,ACTIVE
200092,100092,39,Savings,2018-11-15,3209478.86,ACTIVE
200093,100093,46,Savings,2025-02-04,2853462.79,ACTIVE
200094,100094,29,Savings,2019-05-15,2840678.52,ACTIVE
200095,100095,49,Current,2017-01-11,3315205.23,ACTIVE
200096,100096,29,Current,2022-05-25,2742135.99,ACTIVE
200097,100097,44,Savings,2020-06-25,4396335.95,ACTIVE
200098,100098,16,Savings,2022-05-19,3378062.67,DORMANT
200099,100099,44,Savings,2018-06-09,2735042.78,ACTIVE
200100,100100,47,Savings,2024-03-26,4148900.72,CLOSED
200101,100101,10,Current,2016-11-12,3030929.75,ACTIVE
200102,100102,30,Savings,2024-02-11,1456075.67,CLOSED
200103,100103,25,Savings,2019-08-22,1035871.04,CLOSED
200104,100104,39,Current,2024-11-21,762062.76,ACTIVE
200105,100105,20,Current,2021-05-30,4497326.34,ACTIVE
200106,100106,5,Current,2017-12-09,3550822.09,ACTIVE
200107,100107,1,Savings,2021-06-22,4686923.5,ACTIVE
200108,100108,30,Savings,2025-04-05,3016657.38,ACTIVE
200109,100109,49,Savings,2023-09-25,2367267.71,ACTIVE
200110,100110,3,Savings,2023-11-18,299052.59,ACTIVE
200111,100111,45,Current,2022-06-18,3358375.59,ACTIVE
200112,100112,14,Current,2025-03-10,2911252.69,CLOSED
200113,100113,30,Current,2017-01-25,4951049.36,ACTIVE
200114,100114,50,Current,2022-09-04,1196174.31,ACTIVE
200115,100115,4,Savings,2023-03-15,2653921.41,ACTIVE
200116,100116,18,Current,2019-05-15,3254961.2,CLOSED
200117,100117,37,Savings,2016-06-02,3223133.58,ACTIVE
200118,100118,25,Savings,2024-03-12,2806687.07,ACTIVE
200119,100119,48,Savings,2025-01-23,3884751.59,ACTIVE
200120,100120,1,Savings,2022-06-18,1025303.56,ACTIVE
200121,100121,46,Savings,2020-04-11,3628273.19,ACTIVE
200122,100122,15,Salary,2016-11-17,3098862.99,CLOSED
200123,100123,9,Savings,2024-09-30,4480427.52,ACTIVE
200124,100124,15,Savings,2016-08-17,4236048.6,ACTIVE
200125,100125,49,Savings,2024-08-23,1576077.62,DORMANT
200126,100126,24,Current,2019-10-01,1381548.51,ACTIVE
