loan_id,customer_id,account_id,loan_type,loan_amount,interest_rate,loan_start_date,loan_status
400001,100566,200892,Home Loan,6998275.59,11.54,2018-07-19,ACTIVE
400002,100898,200208,Car Loan,6000698.59,13.73,2021-04-02,ACTIVE
400003,100178,200813,Education Loan,4657823.14,12.4,2021-04-09,ACTIVE
400004,100809,200199,Car Loan,3707657.67,8.91,2023-12-10,CLOSED
400005,100813,200592,Home Loan,3594747.03,10.51,2018-11-11,ACTIVE
400006,100871,200583,Education Loan,6400089.79,10.96,2023-10-06,DEFAULT
400007,100618,200155,Car Loan,7537603.86,7.89,2020-03-04,ACTIVE
400008,100137,200590,Home Loan,6817318.99,14.18,2020-01-21,ACTIVE
400009,100190,200078,Car Loan,2064260.0,8.4,2019-01-23,CLOSED
400010,100640,200172,Education Loan,4990473.08,12.38,2024-09-18,CLOSED
400011,100342,200289,Personal Loan,7937236.71,11.04,2019-11-16,ACTIVE
400012,100559,200545,Car Loan,4809470.37,7.68,2024-02-06,ACTIVE
400013,100005,200812,Personal Loan,5412570.47,13.97,2021-08-14,DEFAULT
400014,100972,200788,Education Loan,7734246.88,13.46,2021-07-19,ACTIVE
400015,100257,200879,Personal Loan,6646526.53,11.17,2021-05-18,ACTIVE
400016,100812,200420,Home Loan,4152514.72,9.1,2021-01-16,ACTIVE
400017,100662,200007,Personal Loan,8964585.84,8.35,2022-01-24,CLOSED
400018,100806,200160,Car Loan,1709413.98,10.04,2019-01-28,CLOSED
400019,100243,200240,Car Loan,9955612.84,9.29,2023-12-29,DEFAULT
400020,100787,200963,Personal Loan,1276640.53,11.05,2024-07-03,ACTIVE
400021,100720,200423,Home Loan,248004.71,14.26,2021-12-11,ACTIVE
400022,100415,200989,Education Loan,8911187.12,11.52,2019-08-12,ACTIVE
400023,100627,200536,Personal Loan,2525039.73,13.73,2018-02-22,CLOSED
400024,100707,200726,Car Loan,7324026.31,12.06,2019-07-15,ACTIVE
400025,100343,200070,Car Loan,8129052.21,10.83,2023-10-24,ACTIVE
400026,100682,200880,Personal Loan,8603965.27,13.48,2021-02-26,ACTIVE
400027,100379,200216,Personal Loan,9916782.93,10.8,2022-03-08,ACTIVE
400028,100594,200104,Personal Loan,3010993.13,13.58,2023-06-10,CLOSED
400029,100666,200727,Education Loan,7131409.09,9.54,2022-08-15,ACTIVE
400030,100653,200054,Car Loan,1242458.6,8.4,2021-10-25,DEFAULT
400031,100826,200806,Car Loan,4127411.98,13.49,2019-10-30,ACTIVE
400032,100146,200330,Car Loan,8494919.76,11.61,2019-02-24,DEFAULT
400033,100323,200848,Education Loan,3739814.66,13.72,2020-06-11,CLOSED
400034,100122,200203,Home Loan,5951844.27,14.06,2019-09-26,ACTIVE
400035,100252,200288,Car Loan,5087357.09,7.88,2023-08-24,DEFAULT
