transaction_id,account_id,transaction_date,transaction_type,amount,channel,running_balance
300001,200959,2024-07-02,CREDIT,54812.32,UPI,1745587.6
300002,200853,2023-12-30,CREDIT,182372.54,ATM,4831145.52
300003,200448,2023-10-02,DEBIT,19591.79,BRANCH,4008196.62
300004,200248,2023-11-12,CREDIT,170680.51,ATM,3152272.88
300005,200788,2023-02-10,CREDIT,65699.2,UPI,1464979.55
300006,200264,2024-12-28,CREDIT,10849.09,IMPS,1868014.71
300007,200058,2022-06-10,CREDIT,133904.46,UPI,3350014.64
300008,200302,2024-08-11,CREDIT,46332.86,ONLINE,360368.1
300009,200031,2025-03-08,DEBIT,48789.87,NEFT,1283774.62
300010,200498,2022-09-27,DEBIT,61278.83,NEFT,3569647.72
300011,200249,2022-07-10,CREDIT,12830.59,ONLINE,2400352.54
300012,200605,2024-08-17,DEBIT,35507.72,NEFT,2012266.63
300013,200777,2022-07-19,DEBIT,1127.41,NEFT,757712.38
300014,200271,2024-07-22,CREDIT,89137.36,BRANCH,2209524.25
300015,200606,2023-09-28,CREDIT,16942.65,IMPS,3853574.51
300016,200666,2024-08-11,CREDIT,136562.26,IMPS,1320432.22
300017,200394,2024-08-21,DEBIT,47201.01,UPI,27490.01
300018,200797,2023-04-20,CREDIT,188720.47,ONLINE,3342690.25
300019,200502,2023-04-04,DEBIT,174263.2,ATM,4863146.71
300020,200592,2022-10-22,DEBIT,57959.23,UPI,3034329.4
300021,200804,2023-06-13,DEBIT,156664.77,UPI,600049.33
300022,200084,2024-01-15,CREDIT,160668.66,UPI,1604005.1
300023,200365,2024-03-13,DEBIT,197313.97,UPI,4338274.25
300024,200886,2023-01-11,CREDIT,119608.21,IMPS,1163224.09
300025,200549,2023-11-08,CREDIT,16484.95,ATM,3038675.67
300026,200342,2023-10-28,CREDIT,129402.76,UPI,2013654.71
300027,200839,2024-07-17,CREDIT,125033.45,IMPS,1039614.69
300028,200407,2024-09-25,CREDIT,127706.28,UPI,4067127.76
300029,200425,2022-03-03,DEBIT,61498.42,NEFT,3714284.97
