enrollment_id,student_id,course_id,semester
5001,474,1191,Semester 3
5002,22,1069,Semester 2
5003,291,1294,Semester 3
5004,129,1452,Semester 1
5005,462,1230,Semester 2
5006,308,1197,Semester 2
5007,494,1029,Semester 3
5008,85,1206,Semester 1
5009,108,1430,Semester 2
5010,154,1131,Semester 3
5011,322,1449,Semester 3
5012,78,1046,Semester 2
5013,239,1175,Semester 1
5014,404,1104,Semester 2
5015,269,1460,Semester 2
5016,489,1500,Semester 2
5017,382,1397,Semester 2
5018,148,1283,Semester 1
5019,227,1399,Semester 3
5020,89,1226,Semester 3
5021,27,1171,Semester 1
5022,429,1316,Semester 1
5023,447,1288,Semester 2
5024,119,1338,Semester 3
5025,34,1133,Semester 3
5026,392,1135,Semester 2
5027,394,1089,Semester 2
5028,456,1473,Semester 2
5029,30,1324,Semester 3
5030,233,1015,Semester 1
5031,309,1336,Semester 2
5032,416,1076,Semester 1
5033,256,1158,Semester 2
5034,26,1221,Semester 1
5035,66,1298,Semester 3
5036,211,1300,Semester 2
5037,120,1351,Semester 1
5038,134,1147,Semester 3
5039,209,1101,Semester 1
5040,492,1353,Semester 3
5041,220,1087,Semester 2
5042,249,1149,Semester 3
5043,447,1388,Semester 2
5044,72,1433,Semester 1
5045,439,1260,Semester 2
5046,152,1092,Semester 2
5047,40,1362,Semester 1
5048,198,1433,Semester 1
5049,245,1348,Semester 1
5050,270,1191,Semester 1
5051,71,1283,Semester 2
5052,2,1194,Semester 3
5053,288,1337,Semester 1
5054,9,1059,Semester 3
5055,391,1056,Semester 2
5056,254,1304,Semester 2
5057,493,1004,Semester 2
5058,164,1264,Semester 2
5059,45,1479,Semester 3
5060,319,1069,Semester 3
5061,396,1177,Semester 3
5062,354,1268,Semester 1
5063,123,1380,Semester 2
5064,350,1064,Semester 1
5065,467,1119,Semester 3
5066,1,1318,Semester 1
5067,194,1118,Semester 3
5068,52,1441,Semester 2
5069,86,1119,Semester 1
5070,233,1103,Semester 3
5071,341,1316,Semester 2
5072,269,1498,Semester 1
5073,52,1419,Semester 1
5074,467,1248,Semester 3
5075,250,1197,Semester 2
5076,205,1473,Semester 1
5077,51,1056,Semester 1
5078,83,1481,Semester 3
5079,174,1079,Semester 2
5080,93,1226,Semester 3
5081,97,1077,Semester 3
5082,486,1247,Semester 2
5083,442,1081,Semester 2
5084,379,1263,Semester 3
5085,402,1398,Semester 3
5086,445,1142,Semester 3
5087,133,1172,Semester 3
5088,245,1060,Semester 3
5089,7,1072,Semester 3
5090,180,1402,Semester 2
5091,382,1482,Semester 2
