product_id,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
1slxdgbgWFax,toys,50,16,5,11
77PgsiElQLeB,electronics,200,21,7,14
QVlD26X1y7NI,furniture_decor,1000,100,5,20
yWlFGkKYfrpa,toys,8950,40,30,40
h6MCbrwh5kiC,toys,2301,32,35,34
CApN1zdCu8Ad,toys,400,22,27,27
HOJj2KbHY8er,toys,12850,36,56,56
bKrL5OryV9HU,toys,18800,60,40,42
7ba9znpcLheP,toys,375,16,8,11
TLhoqYaQLJ5g,toys,200,16,16,16
EG4wDSpFyTth,health_beauty,250,22,10,18
hoFRvSkFE7Xv,home_appliances,950,25,11,15
YLYPEDYgvdfH,toys,250,23,13,21
XnVJHXWoT9t9,toys,3100,30,30,30
cDHQRx6Mr5x7,toys,100,19,3,11
cKboTGrWp54z,toys,2600,17,17,60
MUIEAN159RuU,baby,450,30,7,20
W5lSpNbHbIjE,toys,1150,33,4,28
claM69kKTNfa,toys,450,27,16,27
aUvBxYvPYgvN,toys,350,17,4,12
ccg64CBDaXEK,toys,1100,24,21,16
C0fYrgNXAm4X,toys,700,30,36,20
hBVeRiNmH8jL,toys,3625,29,38,26
8IhgV2nH9kXE,health_beauty,700,25,12,19
F7VM3KqshbPZ,bed_bath_table,1300,43,5,30
rfAfXKCzKmqX,toys,367,17,12,12
fBYJ0RAV9NzF,perfumery,400,18,18,12
mHI4NBBHLa3q,toys,150,16,9,11
p9owG1LeMQyo,toys,2100,30,24,25
q1g2MXdXLhY1,toys,450,45,15,35
dUoMatEvc2jC,food_drink,600,28,15,20
EtByr6hYFH77,toys,850,25,18,40
74QWytNFaRdz,toys,200,18,14,17
fv7KNAysdXlN,toys,260,21,16,20
wfUecfuVgluN,toys,725,30,9,27
uX3peyoIafeb,toys,1700,42,10,36
cSXYaf2R23NY,housewares,300,35,4,15
mJHxwcpqG1n6,toys,400,24,7,14
Y9RZLlJmz7ht,toys,125,16,12,12
mlh1QSbPODrn,toys,800,42,36,25
LACwfilTTi3G,toys,9325,50,18,28
0zCNWMABd3aW,baby,2300,65,15,15
50ddJtKO3HR1,toys,3150,39,30,29
XoreWdNE59ms,toys,200,16,9,11
6QtH1B0l31bh,toys,2800,36,11,26
g2nsxyGqPtjO,toys,275,23,18,28
GBRpbhWI9MRb,toys,2200,22,22,22
xQOinugRH3hN,furniture_decor,1600,24,27,39
S1AbuPvAdHZx,toys,600,17,22,20
qDgjT36KwfcF,furniture_decor,2500,40,10,30
i1Clmz1s1Y35,toys,200,16,2,11
Rugpsd6wUZpm,watches_gifts,757,19,14,15
5Nm9KRKxfEOi,toys,3500,55,5,40
G0Jl0sANrl5j,toys,1600,38,7,28
i8rOWNVCU8SG,toys,200,17,11,15
7ymC4wrimXhe,toys,1350,30,20,20
x5U2lQcr1Slp,toys,550,17,28,11
HMrkOFFXRiNb,toys,400,30,20,25
4DMLAKWbfjYB,toys,7400,80,15,60
o0wzlENKuuPY,toys,600,17,17,17
y2MAnns4G96G,computers_accessories,207,19,11,14
8EMcxO7AFhVP,toys,180,17,10,13
pnQbUcmERqLT,toys,250,16,16,16
eySkDvowFkGC,toys,700,41,13,26
OyNjP3ysqnRA,health_beauty,1250,42,11,12
UhiYwrBc5ixN,perfumery,442,23,15,17
gyCm1QS60Z2r,toys,500,40,15,40
XicPOT40hSxE,electronics,501,19,10,91
DMB6KqQisnZE,toys,400,20,5,21
65N5NNUZppq6,toys,700,25,10,25
JNVFLT1PwSb6,toys,2000,30,12,16
zgeloe0hFyo4,toys,150,16,5,20
Lqe98dYBeetq,toys,950,40,5,30
Pb29t2XBfP6Q,furniture_decor,700,35,4,30
mCDJ1miTla4u,toys,350,16,12,14
Zi9DvAJMTNK7,toys,390,23,14,17
idj1HKBW8p4Y,toys,200,25,2,17
6j4YiywQs19u,toys,5100,13,76,41
2H4WpZ0EIw4e,perfumery,550,19,13,18
E1esbswKYvev,telephony,325,20,15,14
iKnmCaCAMSTw,toys,4100,53,21,36
wUg0kOtAM0q5,toys,1100,20,30,30
poyljoTAnq9L,toys,900,44,2,36
yTJSPjwF1iY0,toys,650,16,10,11
6lqYiC1kC4WA,toys,2425,29,30,19
tzs5x0lLkB4v,toys,117,21,12,13
F1FBNZnox1VK,garden_tools,16400,100,30,30
BKF4Stwoyt2S,home_construction,900,32,24,11
oo5YFvkDJXfS,toys,250,16,2,20
K8lKuHK7ZRsb,toys,7600,30,31,38
NRdnqAmNJ3Gg,toys,400,31,5,16
7ymC4wrimXhe,toys,1350,30,20,20
diXfR20Ry7N3,computers_accessories,200,20,15,15
7rmvkmjvPkYA,furniture_decor,800,40,5,11
y5FI0l0HjdGT,computers_accessories,217,16,14,14
TznsJjXJH6cK,toys,1700,25,25,25
D984F4DTEtgY,costruction_tools_tools,400,16,2,11
kUApGiacE8R7,toys,50,18,18,12
RepVMI5KCfFQ,toys,475,35,21,30
rjqk8lHzimCk,toys,250,27,13,17
oRWowdRxzkkE,toys,300,20,9,15
0vxqaoazyUrJ,toys,700,30,30,40
oF8tGJeHNeOE,toys,250,16,10,16
HpuiH593gmeG,toys,350,25,8,19
pTrK5MYzL4Ca,computers_accessories,233,16,14,15
z3XHloP0B6UK,toys,150,16,7,16
A7oAK6cYaqZ4,auto,400,20,20,20
WhlDdQRsqlZh,garden_tools,600,16,7,22
RXVEkfBO6tx3,toys,100,16,7,11
DLKkjtQJpeYz,toys,700,38,15,27
iaPbzG31q0Vz,toys,4000,43,35,18
O332ZRndALYI,toys,4800,22,63,22
n8NlUmLkElPr,toys,1100,32,16,16
HhAtKukEU7VT,toys,1867,36,6,36
qKdBzmQEGR6b,toys,200,20,15,15
eICb94TD3JP8,toys,7950,46,7,46
y2MAnns4G96G,computers_accessories,207,19,11,14
icdtCDkjpSZQ,toys,342,18,13,15
RL7OKDCyY23o,toys,350,16,5,20
QzAC1fDWMbmk,toys,100,11,11,11
T04Mxb5gFcXd,toys,300,23,8,19
BuMA9g0RCLlr,toys,450,16,7,11
pTx5wvuygQnb,consoles_games,250,19,2,14
5EFBA7VYOItK,toys,321,19,14,13
PmU4zDs3ZA49,toys,400,40,20,20
MQlNR59cgOB2,toys,1535,49,8,21
t9T0NG1QQIGI,toys,6900,26,26,26
iUMmZb8oh0qu,toys,573,35,13,11
HwPbP5N2qWCP,toys,133,20,10,16
aiiImX7Pk53m,toys,1147,25,21,19
J3RLg1Bwun4Q,toys,350,24,29,16
Z0vMyDM0FvZn,stationery,1000,36,6,29
0eU2pGKaTuqj,toys,5000,50,20,20
7C0EFvQcwqRI,toys,5900,40,40,40
1rFoOcG1sQwB,toys,100,40,2,24
AiKnucErxdfC,home_appliances,4920,65,11,33
sNAAI52Ft4Yx,cool_stuff,150,16,7,12
VE1XRfifT9hb,luggage_accessories,450,24,47,34
dfAHqNQcTm3T,toys,138,19,17,16
Biwi1BNtUB7l,toys,1500,30,22,30
ZWyg4uNWPHjJ,toys,250,16,2,11
pmQFBLygQ1oH,toys,100,16,11,12
X4L5ori5hRm1,toys,1850,46,12,43
Biwi1BNtUB7l,toys,1500,30,22,30
wipKQnoUkikl,toys,3100,27,27,27
OV8uYkcbbZld,watches_gifts,450,16,2,20
VAS6Q8niNy2w,toys,233,22,16,14
w6wfCWzpQ78I,toys,300,22,10,15
kEslzWCkm0ZL,toys,175,24,3,17
8P6w1wVsyDsG,toys,1150,25,23,25
0p1rNofm8oi9,baby,9400,75,15,50
OfYbf6ptQ7S0,toys,11600,65,19,47
NkygN5yTKOgI,toys,1400,26,41,26
ro08JPncYzLh,garden_tools,1650,30,22,30
Usi90p4RKMY1,health_beauty,434,20,16,18
xJRyPvJqgafI,toys,1175,34,20,22
3NEukCGJjNCr,sports_leisure,2433,30,24,24
IWTKXtyQPnuB,toys,200,20,10,15
GvBzGCvvIC2D,toys,1000,53,8,18
0DGoM1aFJKQb,toys,450,20,12,15
4RokZRqcffze,toys,1950,35,12,23
yctXoGaUcJuM,toys,600,18,9,13
BEAPTXoPz01D,toys,1075,17,13,15
gCcVSdlEOuof,toys,17550,73,20,47
8EMcxO7AFhVP,toys,180,17,10,13
O332ZRndALYI,toys,4800,22,63,22
qh5eo3eA22JD,toys,7150,17,8,32
LjzRT54degE3,toys,500,30,6,23
sAZlZF7GJJdr,bed_bath_table,350,16,10,16
ojAhyTeUlmLS,sports_leisure,500,22,15,22
JKVUiz45iGB8,toys,1614,31,16,28
yN7QdW9omLo6,home_appliances,700,20,6,11
gq42NYmDYSH7,toys,9225,61,61,30
VcU0FP9DjfBt,toys,550,40,5,30
VkLNxVykNlKl,toys,880,28,6,17
M1QehWDYrOKu,toys,1800,52,5,52
ooMfhtJJiM8o,health_beauty,300,16,9,15
UMLfE5ekvVL1,housewares,16000,30,30,30
dooIJeivMlv6,toys,150,19,12,16
1R8bu0R8h2Pg,toys,16300,50,30,50
rKXoWNJxVSE7,toys,6050,20,20,20
0qtItiuCYJLB,toys,1800,35,20,30
eWXIxR3gWdjy,toys,2450,30,12,16
wEXYeIBMtNpz,toys,1700,65,6,50
SLTlrWtcYt1m,toys,1750,37,22,40
Z0u1lpfu5xfm,toys,400,16,9,11
DL5BHCpE7rrL,bed_bath_table,835,40,9,33
b73bpEzJgugQ,toys,275,18,4,12
ifOyaTorkIqj,computers,12000,27,50,53
noHAJVjnfbjD,toys,6513,64,37,38
hmEnk83HcG3e,toys,10050,60,20,50
rfsGZzBijANi,toys,1600,30,5,30
1edaUIVffPFF,watches_gifts,584,16,11,13
orUwK0JfotYQ,toys,300,40,4,30
rymjv5HRykTB,perfumery,249,19,13,15
1JgqZUMnHeh7,toys,600,16,2,11
i8rOWNVCU8SG,toys,200,17,11,15
1ffebT9EkzfW,health_beauty,300,19,12,13
tzs5x0lLkB4v,toys,117,21,12,13
ESxhVTp3TExr,toys,100,20,20,20
WRnS90YSEbaf,toys,200,29,7,16
y2MAnns4G96G,computers_accessories,207,19,11,14
tXJHUVp8RdE6,housewares,1270,17,14,17
fgZthIy5sipF,toys,200,14,13,12
sFXdhNPN6lcL,toys,2725,43,50,28
J5Psrq96uL2D,toys,1850,30,30,30
PFZYJm6Ju6Cb,sports_leisure,2120,26,25,25
pEOKGWW2dBY3,toys,300,16,30,20
oW6KDobidlmB,toys,950,45,15,35
ruksAzpogPAJ,toys,250,16,2,20
blPFUTjOGNza,toys,700,45,15,35
lZfc4Rcm9yEU,toys,250,17,4,12
o6Na5dqQ8W2g,watches_gifts,314,18,11,14
VcRU5d314wk8,toys,16550,22,65,40
CgiKx9mLmcsp,sports_leisure,800,27,12,14
jjO7ZavQamGy,toys,600,50,8,40
JluFNsoIYaG0,toys,300,16,6,14
c80mGAlXdCTR,toys,389,27,33,28
FgsLb5eMMaQv,toys,1400,45,30,20
x7LQ6tCvXa0m,toys,1038,41,22,28
Ffe8gTdmyO3U,toys,533,22,11,20
HgPeZx2cXbNh,toys,5000,61,34,36
7BEUiOxC03oh,toys,500,16,18,16
ecpXxsHx9yeV,toys,6200,76,28,18
wPUdAGg8JMPE,toys,400,30,30,40
x5cG8pNAAlzt,auto,1300,21,11,16
YVfSZ6AGWq2b,toys,100,16,10,16
w47Os1mXLhR7,toys,1200,28,5,18
jXEbnLl3rA9M,toys,1750,50,20,50
u2yFcYxEYD3S,toys,2300,40,20,30
mKCML8bJ9XFK,telephony,300,16,2,11
sB3mH3n4QEcI,toys,1300,50,9,41
zXA7JMshoWTW,toys,2000,20,40,30
zHp21bETKvVI,bed_bath_table,450,16,10,16
H7Jow3IJvnEB,toys,13325,41,42,47
m2BXGAfmaOtK,toys,450,20,10,15
rZmvB2yPujM0,toys,300,16,20,15
cTBa7ZYgU5YF,toys,550,24,13,20
GhHaQE7pQ8l0,toys,2050,20,15,20
l1MvfyxTwnwn,toys,12500,35,30,30
VIzCnu7ZJnPS,toys,7750,34,33,33
GwC5CQRLSWF4,toys,1500,55,5,16
NBOvMLOgVscO,toys,1750,30,5,30
aQBQT96o3CEF,toys,3598,41,18,51
bpESrZraPGiK,toys,2200,100,7,11
dAz11YkQkoue,health_beauty,100,20,15,15
nRkDfT1MBebs,toys,10500,53,73,18
yifYVWda6kIz,toys,147,14,10,12
xaj9BPzCaOyC,telephony,150,18,3,12
WYpoxZl2lCCd,toys,1800,30,5,30
gero47msJAuH,toys,4100,20,15,13
Sex1oPQ5g59P,housewares,600,25,8,15
IktifiIxY9CZ,toys,4000,60,18,48
4EJ4bFIK6Xep,,400,50,5,11
vWNeSyDg1wbi,toys,1950,33,44,19
rs560cxRBpzh,toys,200,21,7,14
YgLOzkNY5bN4,toys,2800,36,20,29
Qi4VqhwxyY73,health_beauty,400,20,20,20
t8mFaClezbXQ,toys,500,16,30,30
DPjt4BgoDIvK,toys,283,20,9,15
eJ1VhzkvMp83,bed_bath_table,570,30,4,26
